ประทับเวลา,เพศ,นักศึกษาชั้นปี,ท่านมีเครื่องคอมพิวเตอร์ที่บ้านหรือไม่ ,ท่านจัดวางเครื่องคอมพิวเตอร์ไว้ที่ใด ภายในบ้าน,ท่านใช้คอมพิวเตอร์ กี่ครั้งต่อสัปดาห์,ท่านใช้คอมพิวเตอร์ในแต่ละครั้ง นานเท่าไร,ท่านใช้คอมพิวเตอร์มากที่สุด ในช่วงเวลาใด,ท่านสนใจเล่นเกมออนไลน์กี่ครั้งต่อสัปดาห์,ท่านสนใจเล่นเกมออนไลน์นานเท่าไรต่อครั้ง,ท่านสนใจเล่นเกมออนไลน์ ประเภทใดที่ท่านเล่นเป็นประจำ ( เลือกได้มากกว่า 1 ข้อ ),เนื้อหาของเกมออนไลน์ที่ท่านสนใจ มีประโยชน์ต่อท่านอย่างไร ( เลือกได้มากกว่า 1 ข้อ ),ความสัมพันธ์ระหว่างเพื่อนในกลุ่มวัยรุ่น,การอบรมของผู้ปกครองต่อการเล่นเกมออนไลน์เป็นเวลานาน,เล่นเกมออนไลน์มีผลต่อเพื่อนของท่านอย่างไร,ใครเป็นผู้ชักชวนให้ท่านรู้จักเกมออนไลน์เป็นครั้งแรก,บุคคลที่มักพูดคุยด้วยเกี่ยวกับการเล่นเกมออนไลน์,ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ได้รับข่าวสารเกี่ยวกับเกมออนไลน์ ผ่านทางโฆษณาทางอินเทอร์เน็ต],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [การเล่นเกมออนไลน์ เพื่อต้องการหาเพื่อนใหม่],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ชอบการสนทนากับผู้เล่นคนอื่นที่เข้ามาเล่นเกมออนไลน์ ขณะที่ท่านกำลังเล่น],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ความสนใจต่อเกมออนไลน์ที่มีกราฟิก สวยงาม เเละสมจริง],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [ ความสนใจต่อเกมออนไลน์ที่มีการเลื่อนระดับยาก],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [บ่อยครั้ง ที่ผู้ปกครองมักไม่มีเวลาให้],ปัจจัยที่มีผลต่อการติดเกมออนไลน์ [จะเล่นเกมต่อ หากได้เลื่อนระดับความสามารถในการเล่นเกมออนไลน์]
"10/7/2023, 21:12:52",ชาย,2,มี,ห้องนอน,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,12.01-18.00 น.,4-6 ครั้ง / สัปดาห์,5 ชั่วโมงขึ้นไป,FPS SHOOTING ,"ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะทางด้านภาษา, การเล่นเป็นระบบทีมและเล่นตามแผนที่ซ้อมกันมา",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ผู้ปกครอง,อื่นๆ,4,3,5,2,5,2,5
"11/7/2023, 7:43:52",ชาย,2,ไม่มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,4-6 ครั้ง / สัปดาห์,4-5  ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมกีฬา, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,บ่นตลอดวัน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,2,3,2,3,3,2
"11/7/2023, 23:24:05",หญิง,2,มี,ห้องนั่งเล่น,1-2 ครั้ง,ไม่เกิน 2 ชั่วโมง,12.01-18.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมจำลองสถานการณ์, เกมผจญภัย","ฝึกทักษะ ทางด้านการค้า, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,5,3,3,5,4,1,5
"16/7/2023, 16:09:02",LGBTQIA+,2,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมฝึกสมอง, MMORPG, จีบหนุ่ม","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,อื่นๆ,4,3,2,5,4,1,3
"16/7/2023, 16:13:28",ชาย,2,มี,ห้องนอน,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,"เกมวางแผนกลยุทธ์, MMORPG","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,5,5,5,5,5,5,5
"16/7/2023, 16:15:20",ชาย,5,มี,ไม่บอก,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมสวมบทบาท, เกมผจญภัย, ยิงคน","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะทางด้านภาษา, การลากหัวคมๆ",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ต่อยกันเอง,ไม่รู้,อื่นๆ,1,2,3,1,3,1,1
"16/7/2023, 16:17:57",หญิง,2,มี,ห้องนั่งเล่น,3-4 ครั้ง,ไม่เกิน 2 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมแข่งรถ, เกมผจญภัย","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกทักษะ ทางด้านการค้า, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,บ่นตลอดวัน,ไม่มีผลใดเกิดขึ้น,พี่น้อง,เพื่อนในห้องเรียน,1,1,1,3,3,1,5
"16/7/2023, 16:18:27",หญิง,2,ไม่มี,-,-,0,-,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง",ฝึกทักษะทางด้านภาษา,พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,3,3,3,2,3,3
"16/7/2023, 17:35:03",ชาย,2,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,4-6 ครั้ง / สัปดาห์,4-5  ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,5,4,4,4,5,4,4
"16/7/2023, 18:11:30",หญิง,3,มี,ห้องพระ,ใช้ทุกวัน,ทั้งวัน ตื่นยันนอน,ตอนตื่น,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกทักษะทางด้านภาษา, ความคิดสร้างสรรค์ทางระบบ",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,1,1,1,2,1,1,1
"16/7/2023, 18:56:49",หญิง,2,มี,ห้องนอน,3-4 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,2-3 ชั่วโมง,เกมจำลองสถานการณ์,ไม่ได้ฝึกอะไร เล่นแล้วสบายใจเฉยๆ,พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,อื่นๆ,5,2,1,5,4,2,5
"17/7/2023, 13:57:53",หญิง,1,มี,ห้องนอน,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,เกมจำลองสถานการณ์,ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป,พูดคุยได้ทุกเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,3,4,3,4,4,4,4
"17/7/2023, 16:53:47",LGBTQIA+,3,มี,ห้องนอน,1-2 ครั้ง,4-5 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมฝึกสมอง","ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,พี่ชาย,เพื่อนในห้องเรียน,3,4,5,5,4,5,4
"17/7/2023, 16:56:01",หญิง,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,MMORPG,ฝึกทักษะทางด้านภาษา,พูดคุยได้ทุกเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,5,4,5,3,4,4
"17/7/2023, 16:57:25",ชาย,1,มี,ห้องนั่งเล่น,1-2 ครั้ง,2-3 ชั่วโมง,12.01-18.00 น.,4-6 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมวางแผนกลยุทธ์, Card","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,4,5,5,3,1,4
"17/7/2023, 17:09:18",หญิง,5,มี,ห้องนั่งเล่น,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,เกมบังคับตัวละคร และ เกมกำหนดกติกา,ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่,พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,2,3,2,3,4
"17/7/2023, 17:13:57",หญิง,5,มี,ห้องนั่งเล่น,3-4 ครั้ง,2-3 ชั่วโมง,12.01-18.00 น.,เล่นทุกวัน,2-3 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,4,4,4,4,4,4
"17/7/2023, 17:14:20",หญิง,3,มี,ห้องนอน,1-2 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมแข่งรถ, เกมผจญภัย, เกมฝึกสมอง","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,2,2,3,3,3,4,3
"17/7/2023, 17:24:52",หญิง,3,มี,ห้องนั่งเล่น,5-6 ครั้ง,4-5 ชั่วโมง,12.01-18.00 น.,4-6 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,3,3,4,5,4,2,4
"17/7/2023, 18:39:02",ไม่สะดวกในการให้ข้อมูล,4,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,4-6 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,รุ่นพี่,เพื่อนในห้องเรียน,2,3,2,3,1,1,4
"17/7/2023, 19:21:22",LGBTQIA+,1,มี,ห้องนอน,5-6 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,4-6 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมกีฬา, เกมจำลองสถานการณ์, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,เพื่อน,เพื่อนในห้องเรียน,2,2,4,5,3,4,5
"17/7/2023, 20:43:08",หญิง,2,มี,ห้องนั่งเล่น,ใช้ทุกวัน,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,เกมฝึกสมอง,ฝึกทักษะการคิดเลข (sudoku),พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,1,1,1,1,3,1,2
"17/7/2023, 21:03:16",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมกีฬา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,1,3,2,3,3,2,5
"17/7/2023, 21:11:09",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมกีฬา, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,2,2,5,5,3,1,5
"17/7/2023, 21:11:17",ชาย,1,มี,ห้องนั่งเล่น,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,4-6 ครั้ง / สัปดาห์,2-3 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,4,3,4,4,5,3,4
"17/7/2023, 21:14:00",LGBTQIA+,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,2-3 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมจำลองสถานการณ์","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนไม่ได้ มีปัญหากัน,ตัวท่านเอง,เพื่อนในห้องเรียน,4,4,5,5,4,3,5
"17/7/2023, 21:14:03",ชาย,5,มี,ห้องนั่งเล่น,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมกีฬา, เกมแข่งรถ, เกมจำลองสถานการณ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา, MMORPG","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,5,5,5,5,5,5,5
"17/7/2023, 21:14:06",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,2-3 ชั่วโมง,06.01-12.00 น,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมวางแผนกลยุทธ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,3,5,5,5,2,4
"17/7/2023, 21:15:59",ชาย,1,มี,ห้องนั่งเล่น,3-4 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,"เกมสวมบทบาท, เกมแข่งรถ, MMORPG",ฝึกทักษะทางด้านภาษา,พูดคุยได้บางเรื่อง,บ่นตลอดวัน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,1,1,3,5,2,5,2
"17/7/2023, 21:17:34",ชาย,1,ไม่มี,ไม่ที,ไม่ที,ไม่ได้ใช้,ไม่มีคอมพิวเตอร์,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,MOBA ,ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป,พูดคุยได้บางเรื่อง,ตักเตือน,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,3,3,4,3,3,2,2
"17/7/2023, 21:17:36",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,4-6 ครั้ง / สัปดาห์,4-5  ชั่วโมง,เกมวางแผนกลยุทธ์,"ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการเข้าสังคม, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,2,3,5,4,3,4
"17/7/2023, 21:17:46",ชาย,1,มี,ห้องนอน,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,4-5  ชั่วโมง,"เกมวางแผนกลยุทธ์, เกมผจญภัย, เกมฝึกสมอง, เกมบังคับตัวละคร และ เกมกำหนดกติกา","เพิ่มทักษะและความสามารถในการพิมพ์ดีด, ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกที่จะเป็นคนมีน้ำใจ ให้ความช่วยเหลือผู้เล่นใหม่ ไม่เห็นแก่ตัว, ฝึกทักษะทางด้านภาษา",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,5,5,5,5,3,4
"17/7/2023, 21:18:21",ชาย,1,มี,ห้องนั่งเล่น,5-6 ครั้ง,2-3 ชั่วโมง,18.01-00.00 น.,เล่นทุกวัน,ไม่เกิน 2 ชั่วโมง,"เกมวางแผนกลยุทธ์, MMORPG","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกการขอโทษ และให้อภัยผู้อื่น",พูดคุยได้บางเรื่อง,ไม่มีปัญหา,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,เพื่อน,เพื่อนในห้องเรียน,5,2,2,4,4,3,4
"17/7/2023, 21:18:52",ชาย,1,มี,ห้องนั่งเล่น,ใช้ทุกวัน,4-5 ชั่วโมง,18.01-00.00 น.,ไม่เกิน 2 ครั้ง / สัปดาห์,ไม่เกิน 2 ชั่วโมง,MMORPG,"ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่, ฝึกทักษะ ทางด้านการค้า, ฝึกการเข้าสังคม, ฝึกการขอโทษ และให้อภัยผู้อื่น, ฝึกทักษะทางด้านภาษา",พูดคุยได้ทุกเรื่อง,ไม่มีปัญหา,ไม่มีผลใดเกิดขึ้น,ตัวท่านเอง,เพื่อนในห้องเรียน,4,4,4,3,5,4,3
"17/7/2023, 21:20:05",ชาย,1,มี,ห้องนั่งเล่น,ใช้ทุกวัน,6 ชั่วโมงขึ้นไป,12.01-18.00 น.,เล่นทุกวัน,5 ชั่วโมงขึ้นไป,"เกมสวมบทบาท, เกมจำลองสถานการณ์, เกมฝึกสมอง, MOBA","ฝึกการวางแผน สำหรับเกมประเภทวางแผน และการวางแผนการเล่นในเกมทั่วๆไป, ฝึกการทำงานเป็นทีม และรู้จักแบ่งหน้าที่",พูดคุยได้บางเรื่อง,ตักเตือน,เข้ากลุ่มกับเพื่อนได้ สนิทกันมากขึ้น,ตัวท่านเอง,เพื่อนที่รู้จักในเกมออนไลน์,4,5,5,5,5,3,5
